headword,CEFR,source
haunt,C1,oxford_5000
have,A1,oxford_3000
have to,A1,oxford_3000
hazard,C1,oxford_5000
he,A1,oxford_3000
head,A1,oxford_3000
headache,A2,oxford_3000
headline,B1,oxford_3000
headquarters,B2,oxford_5000
heal,B2,oxford_5000
health,A1,oxford_3000
healthcare,B2,oxford_5000
healthy,A1,oxford_3000
hear,A1,oxford_3000
hearing,B2,oxford_3000
heart,A2,oxford_3000
heat,A2,oxford_3000
heating,B1,oxford_3000
heaven,B2,oxford_3000
heavily,B1,oxford_3000
heavy,A2,oxford_3000
heel,B2,oxford_3000
height,A2,oxford_3000
heighten,C1,oxford_5000
helicopter,B1,oxford_3000
hell,B2,oxford_3000
hello,A1,oxford_3000
helmet,B2,oxford_5000
help,A1,oxford_3000
helpful,A2,oxford_3000
hence,B2,oxford_5000
her,A1,oxford_3000
herb,B2,oxford_5000
here,A1,oxford_3000
heritage,C1,oxford_5000
hero,A2,oxford_3000
hers,A2,oxford_3000
herself,A2,oxford_3000
hesitate,B2,oxford_3000
hey,A1,oxford_3000
hi,A1,oxford_3000
hidden,B2,oxford_5000
hide,A2,oxford_3000
hierarchy,C1,oxford_5000
high,A1,oxford_3000
high-profile,C1,oxford_5000
highlight,B1,oxford_3000
highly,B1,oxford_3000
highway,B2,oxford_5000
hilarious,B2,oxford_5000
hill,A2,oxford_3000
him,A1,oxford_3000
himself,A2,oxford_3000
hint,C1,oxford_5000
hip,B2,oxford_5000
hire,B1,oxford_3000
his,A1,oxford_3000
historian,B2,oxford_5000
historic,B1,oxford_3000
historical,B1,oxford_3000
history,A1,oxford_3000
hit,A2,oxford_3000
hobby,A1,oxford_3000
hockey,A2,oxford_3000
hold,A2,oxford_3000
hole,A2,oxford_3000
holiday,A1,oxford_3000
hollow,B2,oxford_3000
holy,B2,oxford_3000
home,A1,oxford_3000
homeland,C1,oxford_5000
homeless,B2,oxford_5000
homework,A1,oxford_3000
honest,B1,oxford_3000
honesty,B2,oxford_5000
honour,B2,oxford_3000
hook,B2,oxford_5000
hope,A1,oxford_3000
hopeful,C1,oxford_5000
hopefully,B2,oxford_5000
horizon,C1,oxford_5000
horn,C1,oxford_5000
horrible,B1,oxford_3000
horror,B1,oxford_3000
horse,A1,oxford_3000
hospital,A1,oxford_3000
host,B1,oxford_3000
hostage,C1,oxford_5000
hostile,C1,oxford_5000
hostility,C1,oxford_5000
hot,A1,oxford_3000
hotel,A1,oxford_3000
hour,A1,oxford_3000
house,A1,oxford_3000
household,B2,oxford_3000
housing,B2,oxford_3000
how,A1,oxford_3000
however,A1,oxford_3000
huge,A2,oxford_3000
human,A2,oxford_3000
humanitarian,C1,oxford_5000
humanity,C1,oxford_5000
humble,C1,oxford_5000
humorous,B2,oxford_3000
humour,B2,oxford_3000
hundred,A1,oxford_3000
hunger,B2,oxford_5000
hungry,A1,oxford_3000
hunt,B1,oxford_3000
hunting,B2,oxford_3000
hurricane,B1,oxford_3000
hurry,B1,oxford_3000
hurt,A2,oxford_3000
husband,A1,oxford_3000
hydrogen,C1,oxford_5000
hypothesis,B2,oxford_5000
i,A1,oxford_3000
ice,A1,oxford_3000
ice cream,A1,oxford_3000
icon,B2,oxford_5000
id,B2,oxford_5000
idea,A1,oxford_3000
ideal,A2,oxford_3000
identical,B2,oxford_5000
identification,C1,oxford_5000
identify,A2,oxford_3000
identity,B1,oxford_3000
ideological,C1,oxford_5000
ideology,C1,oxford_5000
idiot,C1,oxford_5000
if,A1,oxford_3000
ignorance,C1,oxford_5000
ignore,B1,oxford_3000
ill,A2,oxford_3000
illegal,B1,oxford_3000
illness,A2,oxford_3000
illusion,B2,oxford_5000
illustrate,B2,oxford_3000
illustration,B2,oxford_3000
image,A2,oxford_3000
imagery,C1,oxford_5000
imaginary,B1,oxford_3000
imagination,B2,oxford_3000
imagine,A1,oxford_3000
immediate,B1,oxford_3000
immediately,A2,oxford_3000
immense,C1,oxford_5000
immigrant,B1,oxford_3000
immigration,B2,oxford_5000
imminent,C1,oxford_5000
immune,B2,oxford_5000
impact,B1,oxford_3000
impatient,B2,oxford_3000
implement,B2,oxford_5000
implementation,C1,oxford_5000
implication,B2,oxford_5000
imply,B2,oxford_3000
import,B1,oxford_3000
importance,B1,oxford_3000
important,A1,oxford_3000
impose,B2,oxford_3000
impossible,A2,oxford_3000
impress,B2,oxford_3000
impressed,B2,oxford_3000
impression,B1,oxford_3000
impressive,B1,oxford_3000
imprison,C1,oxford_5000
imprisonment,C1,oxford_5000
improve,A1,oxford_3000
improvement,B1,oxford_3000
in,A1,oxford_3000
inability,C1,oxford_5000
inadequate,C1,oxford_5000
inappropriate,C1,oxford_5000
incentive,B2,oxford_5000
inch,B2,oxford_3000
incidence,C1,oxford_5000
incident,B2,oxford_3000
inclined,C1,oxford_5000
include,A1,oxford_3000
included,A2,oxford_3000
including,A2,oxford_3000
inclusion,C1,oxford_5000
income,B2,oxford_3000
incorporate,B2,oxford_5000
incorrect,B2,oxford_5000
increase,A2,oxford_3000
increasingly,B2,oxford_3000
incredible,A2,oxford_3000
incredibly,B1,oxford_3000
incur,C1,oxford_5000
indeed,B1,oxford_3000
independence,B2,oxford_5000
independent,A2,oxford_3000
index,B2,oxford_5000
indicate,B1,oxford_3000
indication,B2,oxford_5000
indicator,C1,oxford_5000
indictment,C1,oxford_5000
indigenous,C1,oxford_5000
indirect,B1,oxford_3000
individual,A2,oxford_3000
indoor,B1,oxford_3000
indoors,B1,oxford_3000
induce,C1,oxford_5000
indulge,C1,oxford_5000
industrial,B2,oxford_3000
industry,A2,oxford_3000
inequality,C1,oxford_5000
inevitable,B2,oxford_5000
inevitably,B2,oxford_5000
infamous,C1,oxford_5000
infant,C1,oxford_5000
infection,B2,oxford_3000
infer,B2,oxford_5000
inflation,B2,oxford_5000
inflict,C1,oxford_5000
influence,B1,oxford_3000
influential,C1,oxford_5000
info,B2,oxford_5000
inform,B2,oxford_3000
informal,A2,oxford_3000
information,A1,oxford_3000
infrastructure,B2,oxford_5000
ingredient,B1,oxford_3000
inhabitant,B2,oxford_5000
inherent,C1,oxford_5000
inherit,B2,oxford_5000
inhibit,C1,oxford_5000
initial,B2,oxford_3000
initially,B2,oxford_3000
initiate,C1,oxford_5000
initiative,B2,oxford_3000
inject,C1,oxford_5000
injection,C1,oxford_5000
injure,B1,oxford_3000
injured,B1,oxford_3000
injury,A2,oxford_3000
injustice,C1,oxford_5000
ink,B2,oxford_5000
inmate,C1,oxford_5000
inner,B2,oxford_3000
innocent,B1,oxford_3000
innovation,B2,oxford_5000
innovative,B2,oxford_5000
input,B2,oxford_5000
insect,A2,oxford_3000
insert,B2,oxford_5000
insertion,C1,oxford_5000
inside,A2,oxford_3000
insider,C1,oxford_5000
insight,B2,oxford_3000
insist,B2,oxford_3000
inspect,C1,oxford_5000
inspection,C1,oxford_5000
inspector,B2,oxford_5000
inspiration,C1,oxford_5000
inspire,B2,oxford_3000
install,B2,oxford_3000
installation,B2,oxford_5000
instance,B2,oxford_3000
instant,B2,oxford_5000
instantly,B2,oxford_5000
instead,A2,oxford_3000
instinct,C1,oxford_5000
institute,B2,oxford_3000
institution,B2,oxford_3000
institutional,C1,oxford_5000
instruct,C1,oxford_5000
instruction,A2,oxford_3000
instructor,A2,oxford_3000
instrument,A2,oxford_3000
instrumental,C1,oxford_5000
insufficient,C1,oxford_5000
insult,C1,oxford_5000
insurance,B2,oxford_3000
intact,C1,oxford_5000
intake,C1,oxford_5000
integral,C1,oxford_5000
integrate,B2,oxford_5000
integrated,C1,oxford_5000
integration,C1,oxford_5000
integrity,C1,oxford_5000
intellectual,B2,oxford_5000
intelligence,B1,oxford_3000
intelligent,A2,oxford_3000
intend,B1,oxford_3000
intended,B2,oxford_3000
intense,B2,oxford_3000
intensify,C1,oxford_5000
intensity,C1,oxford_5000
intensive,C1,oxford_5000
intent,C1,oxford_5000
intention,B1,oxford_3000
interact,B2,oxford_5000
interaction,B2,oxford_5000
interactive,C1,oxford_5000
interest,A1,oxford_3000
interested,A1,oxford_3000
interesting,A1,oxford_3000
interface,C1,oxford_5000
interfere,C1,oxford_5000
interference,C1,oxford_5000
interim,C1,oxford_5000
interior,C1,oxford_5000
intermediate,C1,oxford_5000
internal,B2,oxford_3000
international,A2,oxford_3000
internet,A1,oxford_3000
interpret,B2,oxford_3000
interpretation,B2,oxford_5000
interrupt,B2,oxford_3000
interval,B2,oxford_5000
intervene,C1,oxford_5000
intervention,C1,oxford_5000
interview,A1,oxford_3000
intimate,C1,oxford_5000
into,A1,oxford_3000
intriguing,C1,oxford_5000
introduce,A1,oxford_3000
introduction,A2,oxford_3000
invade,B2,oxford_5000
invasion,B2,oxford_5000
invent,A2,oxford_3000
invention,A2,oxford_3000
invest,B1,oxford_3000
investigate,B1,oxford_3000
investigation,B2,oxford_3000
investigator,C1,oxford_5000
investment,B2,oxford_3000
investor,B2,oxford_5000
invisible,C1,oxford_5000
invitation,A2,oxford_3000
invite,A2,oxford_3000
invoke,C1,oxford_5000
involve,A2,oxford_3000
involved,B1,oxford_3000
involvement,C1,oxford_5000
iron,B1,oxford_3000
ironic,C1,oxford_5000
ironically,C1,oxford_5000
irony,C1,oxford_5000
irrelevant,C1,oxford_5000
island,A1,oxford_3000
isolate,B2,oxford_5000
isolated,B2,oxford_5000
isolation,C1,oxford_5000
issue,B1,oxford_3000
it,A1,oxford_3000
item,A2,oxford_3000
its,A1,oxford_3000
itself,A2,oxford_3000
jacket,A1,oxford_3000
jail,B2,oxford_5000
jam,A2,oxford_3000
january,A1,oxford_3000
jazz,A2,oxford_3000
jeans,A1,oxford_3000
jet,B2,oxford_5000
jewellery,A2,oxford_3000
job,A1,oxford_3000
join,A1,oxford_3000
joint,B2,oxford_5000
joke,A2,oxford_3000
journal,B1,oxford_3000
journalism,B2,oxford_5000
journalist,A2,oxford_3000
journey,A1,oxford_3000
joy,B2,oxford_3000
judge,B1,oxford_3000
judgement,B2,oxford_3000
judicial,C1,oxford_5000
juice,A1,oxford_3000
july,A1,oxford_3000
jump,A2,oxford_3000
junction,C1,oxford_5000
june,A1,oxford_3000
junior,B2,oxford_3000
jurisdiction,C1,oxford_5000
jury,B2,oxford_5000
just,A1,oxford_3000
justice,B2,oxford_3000
justification,C1,oxford_5000
justify,B2,oxford_3000
keen,B1,oxford_3000
keep,A1,oxford_3000
key,A1,oxford_3000
keyboard,B1,oxford_3000
kick,B1,oxford_3000
kid,A2,oxford_3000
kidnap,C1,oxford_5000
kidney,C1,oxford_5000
kill,A2,oxford_3000
killing,B1,oxford_3000
kilometre,A1,oxford_3000
kind,A1,oxford_3000
king,A2,oxford_3000
kingdom,C1,oxford_5000
kiss,B1,oxford_3000
kit,B2,oxford_5000
kitchen,A1,oxford_3000
knee,A2,oxford_3000
knife,A2,oxford_3000
knock,A2,oxford_3000
know,A1,oxford_3000
knowledge,A2,oxford_3000
lab,A2,oxford_3000
label,B1,oxford_3000
laboratory,B1,oxford_3000
labour,B2,oxford_3000
lack,B1,oxford_3000
lad,C1,oxford_5000
ladder,B2,oxford_5000
lady,A2,oxford_3000
lake,A2,oxford_3000
lamp,A2,oxford_3000
land,A1,oxford_3000
landing,B2,oxford_5000
landlord,C1,oxford_5000
landmark,C1,oxford_5000
landscape,B2,oxford_3000
lane,B2,oxford_5000
language,A1,oxford_3000
lap,C1,oxford_5000
laptop,A2,oxford_3000
large-scale,C1,oxford_5000
largely,B2,oxford_3000
laser,C1,oxford_5000
last,A1,oxford_3000
late,A1,oxford_3000
lately,B2,oxford_5000
later,A1,oxford_3000
latest,B1,oxford_3000
latter,C1,oxford_5000
laugh,A1,oxford_3000
laughter,A2,oxford_3000
launch,B2,oxford_3000
law,A2,oxford_3000
lawn,C1,oxford_5000
lawsuit,C1,oxford_5000
lawyer,A2,oxford_3000
lay,B1,oxford_3000
layer,B1,oxford_3000
layout,C1,oxford_5000
lazy,A2,oxford_3000
lead,A2,oxford_3000
leader,A2,oxford_3000
leadership,B2,oxford_3000
leading,B1,oxford_3000
leaf,B1,oxford_3000
leaflet,B2,oxford_5000
league,B2,oxford_3000
leak,C1,oxford_5000
lean,B2,oxford_3000
leap,C1,oxford_5000
learn,A1,oxford_3000
learning,A2,oxford_3000
least,A2,oxford_3000
leather,B1,oxford_3000
leave,A1,oxford_3000
lecture,A2,oxford_3000
left,A1,oxford_3000
leg,A1,oxford_3000
legacy,C1,oxford_5000
legal,B1,oxford_3000
legend,B2,oxford_5000
legendary,C1,oxford_5000
legislation,C1,oxford_5000
legislative,C1,oxford_5000
legislature,C1,oxford_5000
legitimate,C1,oxford_5000
leisure,B1,oxford_3000
lemon,A2,oxford_3000
lend,A2,oxford_3000
length,B1,oxford_3000
lengthy,C1,oxford_5000
lens,B2,oxford_5000
lesbian,C1,oxford_5000
less,A2,oxford_3000
lesser,C1,oxford_5000
lesson,A1,oxford_3000
let,A1,oxford_3000
lethal,C1,oxford_5000
letter,A1,oxford_3000
level,A2,oxford_3000
liable,C1,oxford_5000
liberal,C1,oxford_5000
liberation,C1,oxford_5000
liberty,C1,oxford_5000
library,A1,oxford_3000
licence,B2,oxford_3000
license,C1,oxford_5000
lie,A1,oxford_3000
life,A1,oxford_3000
lifelong,C1,oxford_5000
lifestyle,A2,oxford_3000
lifetime,B2,oxford_5000
lift,A2,oxford_3000
light,A2,oxford_3000
lighting,B2,oxford_5000
like,A1,oxford_3000
likelihood,C1,oxford_5000
likely,A2,oxford_3000
likewise,B2,oxford_5000
limb,C1,oxford_5000
limit,B1,oxford_3000
limitation,B2,oxford_5000
limited,B2,oxford_3000
line,A1,oxford_3000
line-up,C1,oxford_5000
linear,C1,oxford_5000
linger,C1,oxford_5000
link,A2,oxford_3000
lion,A1,oxford_3000
lip,B1,oxford_3000
liquid,B1,oxford_3000
list,A1,oxford_3000
listen,A1,oxford_3000
listener,A2,oxford_3000
listing,C1,oxford_5000
literacy,C1,oxford_5000
literally,B2,oxford_5000
literary,B2,oxford_5000
literature,B1,oxford_3000
litre,B2,oxford_5000
litter,B2,oxford_5000
little,A1,oxford_3000
live,A1,oxford_3000
lively,B2,oxford_3000
liver,C1,oxford_5000
living,B1,oxford_3000
load,B2,oxford_3000
loan,B2,oxford_3000
lobby,C1,oxford_5000
local,A1,oxford_3000
locate,B1,oxford_3000
located,B1,oxford_3000
location,B1,oxford_3000
lock,A2,oxford_3000
log,C1,oxford_5000
logic,C1,oxford_5000
logical,B2,oxford_3000
logo,B2,oxford_5000
lonely,B1,oxford_3000
long,A1,oxford_3000
long-standing,C1,oxford_5000
long-term,B2,oxford_3000
long-time,C1,oxford_5000
look,A1,oxford_3000
loom,C1,oxford_5000
loop,C1,oxford_5000
loose,B2,oxford_3000
lord,B2,oxford_3000
lorry,A2,oxford_3000
lose,A1,oxford_3000
loss,B1,oxford_3000
lost,A2,oxford_3000
lot,A1,oxford_3000
lottery,B2,oxford_5000
loud,A2,oxford_3000
loudly,A2,oxford_3000
love,A1,oxford_3000
lovely,A2,oxford_3000
low,A2,oxford_3000
lower,B2,oxford_3000
loyal,B2,oxford_5000
loyalty,C1,oxford_5000
luck,A2,oxford_3000
lucky,A2,oxford_3000
lunch,A1,oxford_3000
lung,B2,oxford_3000
luxury,B1,oxford_3000
lyric,B2,oxford_5000
machine,A1,oxford_3000
machinery,C1,oxford_5000
mad,B1,oxford_3000
magazine,A1,oxford_3000
magic,B1,oxford_3000
magical,C1,oxford_5000
magistrate,C1,oxford_5000
magnetic,C1,oxford_5000
magnificent,B2,oxford_5000
magnitude,C1,oxford_5000
mail,A2,oxford_3000
main,A1,oxford_3000
mainland,C1,oxford_5000
mainly,B1,oxford_3000
mainstream,C1,oxford_5000
maintain,B2,oxford_3000
maintenance,C1,oxford_5000
major,A2,oxford_3000
majority,B2,oxford_3000
make,A1,oxford_3000
make-up,B2,oxford_5000
making,B2,oxford_5000
male,A2,oxford_3000
mall,B1,oxford_3000
man,A1,oxford_3000
manage,A2,oxford_3000
management,B1,oxford_3000
manager,A2,oxford_3000
mandate,C1,oxford_5000
mandatory,C1,oxford_5000
manifest,C1,oxford_5000
manipulate,C1,oxford_5000
manipulation,C1,oxford_5000
manner,A2,oxford_3000
manufacture,B2,oxford_5000
manufacturing,B2,oxford_5000
manuscript,C1,oxford_5000
many,A1,oxford_3000
map,A1,oxford_3000
marathon,B2,oxford_5000
march,A1,oxford_3000
margin,B2,oxford_5000
marginal,C1,oxford_5000
marine,C1,oxford_5000
mark,A2,oxford_3000
marker,B2,oxford_5000
market,A1,oxford_3000
marketing,B1,oxford_3000
marketplace,C1,oxford_5000
marriage,B1,oxford_3000
married,A1,oxford_3000
marry,A2,oxford_3000
martial,B2,oxford_5000
mask,C1,oxford_5000
mass,B2,oxford_3000
massacre,C1,oxford_5000
massive,B2,oxford_3000
master,B2,oxford_3000
match,A1,oxford_3000
matching,B2,oxford_3000
mate,B2,oxford_5000
material,A2,oxford_3000
mathematical,C1,oxford_5000
mathematics,A2,oxford_3000
maths,A2,oxford_3000
matter,A2,oxford_3000
mature,C1,oxford_5000
maximize,C1,oxford_5000
maximum,B2,oxford_3000
may,A1,oxford_3000
maybe,A1,oxford_3000
mayor,B2,oxford_5000
me,A1,oxford_3000
meal,A1,oxford_3000
mean,A1,oxford_3000
meaning,A1,oxford_3000
meaningful,C1,oxford_5000
means,B2,oxford_3000
meantime,C1,oxford_5000
meanwhile,B1,oxford_3000
measure,B1,oxford_3000
measurement,B2,oxford_3000
meat,A1,oxford_3000
mechanic,B2,oxford_5000
mechanical,B2,oxford_5000
mechanism,B2,oxford_5000
medal,B2,oxford_5000
media,A2,oxford_3000
medical,A2,oxford_3000
medication,B2,oxford_5000
medicine,A2,oxford_3000
medieval,C1,oxford_5000
meditation,C1,oxford_5000
medium,B1,oxford_3000
meet,A1,oxford_3000
meeting,A1,oxford_3000
melody,C1,oxford_5000
melt,B2,oxford_3000
member,A1,oxford_3000
membership,B2,oxford_5000
memo,C1,oxford_5000
memoir,C1,oxford_5000
memorable,B2,oxford_5000
memorial,C1,oxford_5000
memory,A2,oxford_3000
mental,B1,oxford_3000
mention,A2,oxford_3000
mentor,C1,oxford_5000
menu,A1,oxford_3000
merchant,C1,oxford_5000
mercy,C1,oxford_5000
mere,C1,oxford_5000
merely,C1,oxford_5000
merge,C1,oxford_5000
merger,C1,oxford_5000
merit,C1,oxford_5000
mess,B1,oxford_3000
message,A1,oxford_3000
metal,A2,oxford_3000
metaphor,B2,oxford_5000
method,A2,oxford_3000
methodology,C1,oxford_5000
metre,A1,oxford_3000
middle,A2,oxford_3000
midnight,A1,oxford_3000
midst,C1,oxford_5000
might,A2,oxford_3000
migration,C1,oxford_5000
mild,B1,oxford_3000
mile,A1,oxford_3000
militant,C1,oxford_5000
military,B2,oxford_3000
militia,C1,oxford_5000
milk,A1,oxford_3000
mill,C1,oxford_5000
million,A1,oxford_3000
mind,A2,oxford_3000
miner,B2,oxford_5000
mineral,B2,oxford_3000
minimal,C1,oxford_5000
minimize,C1,oxford_5000
minimum,B2,oxford_3000
mining,C1,oxford_5000
minister,B2,oxford_3000
ministry,C1,oxford_5000
minor,B2,oxford_3000
minority,B2,oxford_3000
minute,A1,oxford_3000
miracle,C1,oxford_5000
mirror,A2,oxford_3000
miserable,B2,oxford_5000
misery,C1,oxford_5000
misleading,C1,oxford_5000
miss,A1,oxford_3000
missile,C1,oxford_5000
missing,A2,oxford_3000
mission,B2,oxford_3000
mistake,A1,oxford_3000
mix,B1,oxford_3000
mixed,B2,oxford_3000
mixture,B1,oxford_3000
mob,C1,oxford_5000
mobile,A2,oxford_3000
mobility,C1,oxford_5000
mobilize,C1,oxford_5000
mode,B2,oxford_5000
model,A1,oxford_3000
moderate,C1,oxford_5000
modern,A1,oxford_3000
modest,B2,oxford_5000
modification,C1,oxford_5000
modify,B2,oxford_3000
moment,A1,oxford_3000
momentum,C1,oxford_5000
monday,A1,oxford_3000
money,A1,oxford_3000
monitor,B2,oxford_3000
monk,C1,oxford_5000
monkey,A2,oxford_3000
monopoly,C1,oxford_5000
monster,B2,oxford_5000
month,A1,oxford_3000
monthly,B2,oxford_5000
monument,B2,oxford_5000
mood,B1,oxford_3000
moon,A2,oxford_3000
moral,B2,oxford_3000
morality,C1,oxford_5000
more,A1,oxford_3000
moreover,B2,oxford_5000
morning,A1,oxford_3000
mortgage,B2,oxford_5000
mosque,B2,oxford_5000
most,A1,oxford_3000
mostly,A2,oxford_3000
mother,A1,oxford_3000
motion,B2,oxford_5000
motivate,B2,oxford_5000
motivation,B2,oxford_5000
motive,C1,oxford_5000
motor,B2,oxford_3000
motorcycle,A2,oxford_3000
motorist,C1,oxford_5000
mount,B2,oxford_3000
mountain,A1,oxford_3000
mouse,A1,oxford_3000
mouth,A1,oxford_3000
move,A1,oxford_3000
movement,A2,oxford_3000
movie,A1,oxford_3000
moving,B2,oxford_5000
much,A1,oxford_3000
mud,B1,oxford_3000
multiple,B2,oxford_3000
multiply,B2,oxford_3000
mum,A1,oxford_3000
municipal,C1,oxford_5000
murder,B1,oxford_3000
muscle,B1,oxford_3000
museum,A1,oxford_3000
music,A1,oxford_3000
musical,A2,oxford_3000
musician,A2,oxford_3000
must,A1,oxford_3000
mutual,C1,oxford_5000
my,A1,oxford_3000
myself,A2,oxford_3000
mysterious,B2,oxford_3000
mystery,B1,oxford_3000
myth,B2,oxford_5000
nail,B1,oxford_3000
naked,B2,oxford_5000
name,A1,oxford_3000
namely,C1,oxford_5000
narrative,B1,oxford_3000
narrow,A2,oxford_3000
nasty,B2,oxford_5000
nation,B1,oxford_3000
national,A2,oxford_3000
nationwide,C1,oxford_5000
native,B1,oxford_3000
natural,A1,oxford_3000
naturally,B1,oxford_3000
nature,A2,oxford_3000
naval,C1,oxford_5000
navigation,B2,oxford_5000
near,A1,oxford_3000
nearby,B2,oxford_5000
nearly,A2,oxford_3000
neat,B2,oxford_3000
necessarily,B1,oxford_3000
necessary,A2,oxford_3000
necessity,B2,oxford_5000
neck,A2,oxford_3000
need,A1,oxford_3000
needle,B1,oxford_3000
negative,B2,oxford_3000
neglect,C1,oxford_5000
negotiate,B2,oxford_5000
negotiation,B2,oxford_5000
neighbour,A1,oxford_3000
neighbourhood,B1,oxford_3000
neighbouring,C1,oxford_5000
neither,A2,oxford_3000
nerve,B2,oxford_3000
nervous,A2,oxford_3000
nest,C1,oxford_5000
net,B1,oxford_3000
network,A2,oxford_3000
neutral,B2,oxford_5000
never,A1,oxford_3000
nevertheless,B2,oxford_3000
new,A1,oxford_3000
newly,B2,oxford_5000
news,A1,oxford_3000
newsletter,C1,oxford_5000
newspaper,A1,oxford_3000
next,A1,oxford_3000
next to,A1,oxford_3000
nice,A1,oxford_3000
niche,C1,oxford_5000
night,A1,oxford_3000
nightmare,B2,oxford_3000
nine,A1,oxford_3000
nineteen,A1,oxford_3000
ninety,A1,oxford_3000
no,A1,oxford_3000
no one,A1,oxford_3000
noble,C1,oxford_5000
nobody,A1,oxford_3000
nod,C1,oxford_5000
noise,A2,oxford_3000
noisy,A2,oxford_3000
nominate,C1,oxford_5000
nomination,C1,oxford_5000
nominee,C1,oxford_5000
non-profit,C1,oxford_5000
none,A2,oxford_3000
nonetheless,C1,oxford_5000
nonsense,C1,oxford_5000
noon,C1,oxford_5000
nor,B1,oxford_3000
norm,B2,oxford_5000
normal,A2,oxford_3000
normally,A2,oxford_3000
north,A1,oxford_3000
northern,B1,oxford_3000
nose,A1,oxford_3000
not,A1,oxford_3000
notable,C1,oxford_5000
notably,C1,oxford_5000
note,A1,oxford_3000
notebook,B2,oxford_5000
nothing,A1,oxford_3000
notice,A2,oxford_3000
notify,C1,oxford_5000
notion,B2,oxford_3000
notorious,C1,oxford_5000
novel,A2,oxford_3000
novelist,B2,oxford_5000
november,A1,oxford_3000
now,A1,oxford_3000
nowadays,B2,oxford_5000
nowhere,A2,oxford_3000
nuclear,B1,oxford_3000
number,A1,oxford_3000
numerous,B2,oxford_3000
nurse,A1,oxford_3000
nursery,C1,oxford_5000
nursing,B2,oxford_5000
nut,A2,oxford_3000
nutrition,B2,oxford_5000
o'clock,A1,oxford_3000
obesity,B2,oxford_5000
obey,B2,oxford_3000
object,A1,oxford_3000
objection,C1,oxford_5000
objective,B2,oxford_3000
obligation,B2,oxford_3000
oblige,C1,oxford_5000
observation,B2,oxford_3000
observe,B2,oxford_3000
observer,B2,oxford_5000
obsess,C1,oxford_5000
obsession,C1,oxford_5000
obstacle,B2,oxford_5000
obtain,B2,oxford_3000
obvious,B1,oxford_3000
obviously,B1,oxford_3000
occasion,B1,oxford_3000
occasional,C1,oxford_5000
occasionally,B2,oxford_3000
occupation,B2,oxford_5000
occupy,B2,oxford_5000
occur,B1,oxford_3000
occurrence,C1,oxford_5000
ocean,A2,oxford_3000
october,A1,oxford_3000
odd,B1,oxford_3000
odds,C1,oxford_5000
of,A1,oxford_3000
off,A1,oxford_3000
offence,B2,oxford_3000
offend,B2,oxford_3000
offender,B2,oxford_5000
offensive,B2,oxford_3000
offer,A2,oxford_3000
offering,C1,oxford_5000
office,A1,oxford_3000
officer,A2,oxford_3000
official,B1,oxford_3000
offspring,C1,oxford_5000
often,A1,oxford_3000
oh,A1,oxford_3000
oil,A2,oxford_3000
ok,A1,oxford_3000
old,A1,oxford_3000
old-fashioned,B1,oxford_3000
on,A1,oxford_3000
once,A1,oxford_3000
one,A1,oxford_3000
ongoing,B2,oxford_5000
onion,A1,oxford_3000
online,A1,oxford_3000
only,A1,oxford_3000
onto,A2,oxford_3000
open,A1,oxford_3000
opening,B2,oxford_3000
openly,B2,oxford_5000
opera,B2,oxford_5000
operate,B2,oxford_3000
operation,B1,oxford_3000
operational,C1,oxford_5000
operator,B2,oxford_5000
opinion,A1,oxford_3000
opponent,B2,oxford_3000
opportunity,A2,oxford_3000
oppose,B2,oxford_3000
opposed,B2,oxford_3000
opposition,B2,oxford_3000
opt,C1,oxford_5000
optical,C1,oxford_5000
optimism,C1,oxford_5000
optimistic,B2,oxford_5000
option,A2,oxford_3000
or,A1,oxford_3000
oral,C1,oxford_5000
orange,A1,oxford_3000
orchestra,B2,oxford_5000
order,A1,oxford_3000
ordinary,A2,oxford_3000
organ,B2,oxford_3000
organic,B2,oxford_5000
organization,A2,oxford_3000
organizational,C1,oxford_5000
organize,A2,oxford_3000
organized,B1,oxford_3000
organizer,B1,oxford_3000
orientation,C1,oxford_5000
origin,B2,oxford_3000
original,A2,oxford_3000
originally,B1,oxford_3000
originate,C1,oxford_5000
other,A1,oxford_3000
otherwise,B2,oxford_3000
ought,B1,oxford_3000
our,A1,oxford_3000
ours,B1,oxford_3000
ourselves,A2,oxford_3000
out,A1,oxford_3000
outbreak,C1,oxford_5000
outcome,B2,oxford_3000
outdoor,B1,oxford_3000
outdoors,B1,oxford_3000
outer,B2,oxford_3000
outfit,B2,oxford_5000
outing,C1,oxford_5000
outlet,C1,oxford_5000
outline,B2,oxford_3000
outlook,C1,oxford_5000
output,B2,oxford_5000
outrage,C1,oxford_5000
outside,A1,oxford_3000
outsider,C1,oxford_5000
outstanding,B2,oxford_5000
oven,A2,oxford_3000
over,A1,oxford_3000
overall,B2,oxford_3000
overcome,B2,oxford_5000
overlook,C1,oxford_5000
overly,C1,oxford_5000
overnight,B2,oxford_5000
overseas,B2,oxford_5000
oversee,C1,oxford_5000
overturn,C1,oxford_5000
overwhelm,C1,oxford_5000
overwhelming,C1,oxford_5000
owe,B2,oxford_3000
own,A1,oxford_3000
owner,A2,oxford_3000
ownership,B2,oxford_5000
oxygen,B2,oxford_5000
pace,B2,oxford_3000
pack,A2,oxford_3000
package,B1,oxford_3000
packet,B2,oxford_5000
pad,C1,oxford_5000
page,A1,oxford_3000
pain,A2,oxford_3000
painful,B1,oxford_3000
